NAME	Useful for thermal	In CAD	Notes
sparse5			
sparse4			
hash			
sparse3			
sparse2			
server_timestamp			
payload.fTimeStamp			
payload.dctVesselPressure			
payload.fFlowMeterCO2.mass			
payload.fFlowMeterCO2.setpoint			
payload.fFlowMeterCO2.pressure			
payload.fFlowMeterCO2.gasnum			
payload.fFlowMeterCO2.temperature		y	
payload.fFlowMeterCO2.volume			
payload.fDiniTemp			
payload.dctBoxTemp			
payload.fHeartbeat.fTimeStamp			
payload.fHeartbeat.fPacketID			
payload.fHeartbeat.fCurrentRunNumber			
payload.fHeartbeat.fLastUplinkCommandCode			
payload.fLastUplinkCommand.fCommandData1			
payload.fLastUplinkCommand.fRoutingPathID			
payload.fLastUplinkCommand.fCommandData2			
payload.fLastUplinkCommand.fCommandCode			
payload.fLastUplinkCommand.fTimestamp			
payload.fLastUplinkCommand.fShortData			
payload.fLastUplinkCommand.fCount			
payload.fLastUplinkCommand.fSubsystemID			
payload.fLastUplinkCommand.fType			
payload.fLastUplinkCommand.fShortCommand			
payload.fLastUplinkCommand.fCRC			
payload.dctPotentialI			
payload.fChargeControlStat.fBatteryCurrent_Discharge			
payload.fChargeControlStat.fBoxTemp			
payload.fChargeControlStat.fBatteryVoltage1			
payload.fChargeControlStat.fPVA			
payload.fChargeControlStat.fBatteryVoltage2			
payload.fChargeControlStat.fBoxTemp2			
payload.fChargeControlStat.fBusVoltage			
payload.fChargeControlStat.fBatteryCurrent_Charge			
payload.fRICHBoardStates			
payload.dctCathodeI			
payload.fPowerStat.fRICH_East.fVoltage			
payload.fPowerStat.fRICH_East.fCurrent			
payload.fPowerStat.fRICH_East.fTemp1			
payload.fPowerStat.fRICH_East.fPower			
payload.fPowerStat.fRICH_East.fTemp0			
payload.fPowerStat.fRBTemp			
payload.fPowerStat.fMainHSKPower			
payload.fPowerStat.fMagHSKCurrent			
payload.fPowerStat.fTOF_BP.fTemp1			
payload.fPowerStat.fTOF_BP.fPower			
payload.fPowerStat.fTOF_BP.fTemp0			
payload.fPowerStat.fTOF_BP.fCurrent			
